first 716, 19/12/2022 18:05:29
last 764, 19/12/2022 18:05:29
first 716, 19/12/2022 18:05:29
last 764, 19/12/2022 18:05:29
first 715, 19/12/2022 18:05:29
last 765, 19/12/2022 18:05:29
first 714, 19/12/2022 18:05:29
last 766, 19/12/2022 18:05:29
first 714, 19/12/2022 18:05:29
last 766, 19/12/2022 18:05:29
first 713, 19/12/2022 18:05:29
last 767, 19/12/2022 18:05:29
first 712, 19/12/2022 18:05:29
last 768, 19/12/2022 18:05:29
first 712, 19/12/2022 18:05:29
last 768, 19/12/2022 18:05:29
first 712, 19/12/2022 18:05:29
last 768, 19/12/2022 18:05:29
first 711, 19/12/2022 18:05:29
last 769, 19/12/2022 18:05:29
first 711, 19/12/2022 18:05:29
last 769, 19/12/2022 18:05:29
first 711, 19/12/2022 18:05:29
last 769, 19/12/2022 18:05:29
first 710, 19/12/2022 18:05:29
last 770, 19/12/2022 18:05:29
cx 740 cy 193, 19/12/2022 18:05:29
 beginning of the function, 19/12/2022 18:05:35
first 732, 19/12/2022 18:05:35
last 748, 19/12/2022 18:05:35
first 729, 19/12/2022 18:05:35
last 751, 19/12/2022 18:05:35
first 726, 19/12/2022 18:05:35
last 754, 19/12/2022 18:05:35
first 725, 19/12/2022 18:05:35
last 755, 19/12/2022 18:05:35
first 723, 19/12/2022 18:05:35
last 757, 19/12/2022 18:05:35
first 722, 19/12/2022 18:05:35
last 758, 19/12/2022 18:05:35
first 720, 19/12/2022 18:05:35
last 760, 19/12/2022 18:05:35
first 719, 19/12/2022 18:05:35
last 761, 19/12/2022 18:05:35
first 718, 19/12/2022 18:05:35
last 762, 19/12/2022 18:05:35
first 717, 19/12/2022 18:05:35
last 763, 19/12/2022 18:05:35
first 716, 19/12/2022 18:05:35
last 764, 19/12/2022 18:05:35
first 716, 19/12/2022 18:05:35
last 764, 19/12/2022 18:05:35
first 715, 19/12/2022 18:05:35
last 765, 19/12/2022 18:05:35
first 714, 19/12/2022 18:05:35
last 766, 19/12/2022 18:05:35
first 714, 19/12/2022 18:05:35
last 766, 19/12/2022 18:05:35
first 713, 19/12/2022 18:05:35
last 767, 19/12/2022 18:05:35
first 712, 19/12/2022 18:05:35
last 768, 19/12/2022 18:05:35
first 712, 19/12/2022 18:05:35
last 768, 19/12/2022 18:05:35
first 712, 19/12/2022 18:05:35
last 768, 19/12/2022 18:05:35
first 711, 19/12/2022 18:05:35
last 769, 19/12/2022 18:05:35
first 711, 19/12/2022 18:05:35
last 769, 19/12/2022 18:05:35
first 711, 19/12/2022 18:05:35
last 769, 19/12/2022 18:05:35
first 710, 19/12/2022 18:05:35
last 770, 19/12/2022 18:05:35
cx 740 cy 193, 19/12/2022 18:05:35
 beginning of the function, 19/12/2022 18:05:40
first 732, 19/12/2022 18:05:40
last 748, 19/12/2022 18:05:40
first 729, 19/12/2022 18:05:40
last 751, 19/12/2022 18:05:40
first 726, 19/12/2022 18:05:40
last 754, 19/12/2022 18:05:40
first 725, 19/12/2022 18:05:40
last 755, 19/12/2022 18:05:40
first 723, 19/12/2022 18:05:40
last 757, 19/12/2022 18:05:40
first 722, 19/12/2022 18:05:40
last 758, 19/12/2022 18:05:40
first 720, 19/12/2022 18:05:40
last 760, 19/12/2022 18:05:40
first 719, 19/12/2022 18:05:40
last 761, 19/12/2022 18:05:40
first 718, 19/12/2022 18:05:40
last 762, 19/12/2022 18:05:40
first 717, 19/12/2022 18:05:40
last 763, 19/12/2022 18:05:40
first 716, 19/12/2022 18:05:40
last 764, 19/12/2022 18:05:40
first 716, 19/12/2022 18:05:40
last 764, 19/12/2022 18:05:40
first 715, 19/12/2022 18:05:40
last 765, 19/12/2022 18:05:40
first 714, 19/12/2022 18:05:40
last 766, 19/12/2022 18:05:40
first 714, 19/12/2022 18:05:40
last 766, 19/12/2022 18:05:40
first 713, 19/12/2022 18:05:40
last 767, 19/12/2022 18:05:40
first 712, 19/12/2022 18:05:40
last 768, 19/12/2022 18:05:40
first 712, 19/12/2022 18:05:40
last 768, 19/12/2022 18:05:40
first 712, 19/12/2022 18:05:40
last 768, 19/12/2022 18:05:40
first 711, 19/12/2022 18:05:40
last 769, 19/12/2022 18:05:40
first 711, 19/12/2022 18:05:40
last 769, 19/12/2022 18:05:40
first 711, 19/12/2022 18:05:40
last 769, 19/12/2022 18:05:40
first 710, 19/12/2022 18:05:40
last 770, 19/12/2022 18:05:40
cx 740 cy 193, 19/12/2022 18:05:40
 beginning of the function, 19/12/2022 18:05:45
first 712, 19/12/2022 18:05:45
last 728, 19/12/2022 18:05:45
first 709, 19/12/2022 18:05:45
last 731, 19/12/2022 18:05:45
first 706, 19/12/2022 18:05:45
last 734, 19/12/2022 18:05:45
first 705, 19/12/2022 18:05:45
last 735, 19/12/2022 18:05:45
first 703, 19/12/2022 18:05:45
last 737, 19/12/2022 18:05:45
first 702, 19/12/2022 18:05:45
last 738, 19/12/2022 18:05:45
first 700, 19/12/2022 18:05:45
last 740, 19/12/2022 18:05:45
first 699, 19/12/2022 18:05:45
last 741, 19/12/2022 18:05:45
first 698, 19/12/2022 18:05:45
last 742, 19/12/2022 18:05:45
first 697, 19/12/2022 18:05:45
last 743, 19/12/2022 18:05:45
first 696, 19/12/2022 18:05:45
last 744, 19/12/2022 18:05:45
first 696, 19/12/2022 18:05:45
last 744, 19/12/2022 18:05:45
first 695, 19/12/2022 18:05:45
last 745, 19/12/2022 18:05:45
first 694, 19/12/2022 18:05:45
last 746, 19/12/2022 18:05:45
first 694, 19/12/2022 18:05:45
last 746, 19/12/2022 18:05:45
first 693, 19/12/2022 18:05:45
